Nom_Etablissement,Telephone,Email,Localisation,Classement,Statut_Appel,Commentaire_Terrain,Site_Web
La Box des Oiseaux,04 72 26 66 17,,40380#Gamarde-les-Bains,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
La Faïencerie,04 64 09 90 74,gites@domainedescapucins.com,39110#Salins-les-Bains,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,http://www.domainedescapucins.com
L'Olivier,03 05 12 92 08,,86400#Lizant,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.cybevasion.fr/gites-l-olivier-gite-lizant-e93526.html
Maison paisible,02 58 71 20 87,,71410#Sanvignes-les-Mines,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le 104 Feuvrier,04 42 47 12 06,,39100#Dole,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
Appartement Maharin,06 40 20 64 02,,64600#Anglet,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Maison de campagne,07 96 61 56 33,,33790#Cazaugitat,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Hôtel Campanile,05 03 12 14 39,dpo@groupedulouvre.com,47200#Marmande,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,http://www.campanile.fr
Hôtel Golf Château de Chailly,09 54 16 58 15,Em@L.zj,21320#Chailly-sur-Armançon,4 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,http://www.chailly.com
Le Pigeonnier de Lauzun,06 70 74 44 19,,47410#Lauzun,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Meublé de tourisme Un petit bout de temps,09 36 80 31 80,,87240#Ambazac,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Chalets des Chemins Verts - Gîte Manon,06 36 93 92 46,aline-burri@orange.fr,39300#Le Latet,4 étoiles#Classement officiel des hébergements touristiques|Bienvenue à la ferme#Bienvenue à la ferme,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,https://locationchaletjura.com
Gîtes Les Mésanges n°148 & 149,06 34 20 20 99,,08170#Haybes,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Gîte de Jouvence,06 55 52 29 86,,79300#Bressuire,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Camping Parc des Joumiers,04 49 45 91 06,,89520#Saint-Sauveur-en-Puisaye,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://312223.weebnb.com/book/bnb/bnb-1-1
Grand Vouas,06 02 35 51 13,info@lesvouas.nl,58120#Corancy,3 étoiles#Classement officiel des hébergements touristiques,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,https://lesvouas.nl
Village de gîtes du lac de Madine,03 29 89 32 50,jquery@ananas.min.mjs,55210#Heudicourt-sous-les-Côtes,3 étoiles#Classement officiel des hébergements touristiques,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,https://lacmadine.com/seminaires-et-reunions-de-famille/gites
Gîte charme,04 98 64 40 72,,67600#Kintzheim,4 épis / Premium#Gîtes de France,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
La ruche de Borde Grande - Logette,02 55 36 01 06,,47340#Castella,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
T3 - 1 à 4 pers. - DEJ308/F,07 04 74 61 14,,40990#Herm,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
CHEZ POTON,09 89 84 56 79,service@holidu.com,23240#Le Grand-Bourg,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France|2 épis#Gîtes de France,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://link.ferienwohnungen.de/2ReqlS
L'appart Calme et Volupté,01 76 18 41 79,,21270#Maxilly-sur-Saône,Accueil Vélo#France Vélo Tourisme|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
YonShala,06 76 79 34 96,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,40110#Morcenx-la-Nouvelle,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.yonshala.com/sejours-hebergements
Panorama Secret,02 96 83 38 44,,71300#Mary,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,
Domaine de Fonsegré - Gîte La Cachette,01 92 89 36 97,stay@fonsegre.com,58470#Magny-Cours,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://www.fonsegre.com
Hôtel The Originals Le Savoy,06 37 21 55 52,,14000#Caen,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,https://www.hotel-le-savoy.fr
Hôtel Ibis,09 25 58 63 11,,70000#Vesoul,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,http://www.ibishotel.com
Domaine Canteloup - Gîte Canteloup,07 63 23 95 30,,33670#Madirac,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
L'Atelier,07 97 33 38 04,,79100#Sainte-Verge,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Gîte Maison Roy,02 05 18 98 15,,25110#Baume-les-Dames,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Hôtel L'Ouvrée,03 08 14 67 15,contact@louvree.fr,21420#Savigny-lès-Beaune,4 étoiles#Classement officiel des hébergements touristiques,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,https://www.louvree.fr
La Chaumière,07 25 70 90 44,contact@lachaumiere-dole.fr,39100#Dole,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,http://www.lachaumiere-dole.fr
Le Sauvage Hôtel Restaurant Spa,06 36 48 60 81,,25000#Besançon,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.lesauvage-besancon.fr
Gîte Belle Landaise,07 21 11 20 50,,33830#Lugos,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.gitebellelandaise-lugos.fr/bnb/bnb-1-1
Gîte Les Hortensias de la Petite Toscane,02 69 19 28 29,contact@toscanemauriac.fr,33540#Mauriac,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://gites-la-petite-toscane-mauriac.fr
Le refuge du Cèdre,04 87 60 03 18,,90000#Belfort,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Camping Le Moulin Jacquot,05 70 49 82 59,,89460#Deux Rivières,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Les Dépendances,03 70 61 55 38,,21120#Courtivron,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Les Fiottes,01 88 66 11 17,,90200#Giromagny,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Côte et Campagne,06 35 23 28 05,,80120#Vron,3 épis / Confort#Gîtes de France|Gîtes de France#Gîtes de France|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.grand-gite-baie-somme.fr
Chalet adossé à la forêt,05 73 57 46 42,,25650#Montbenoît,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,http://www.gite-hauterive.fr
Le Caudalie,02 35 33 91 52,,33850#Léognan,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le Séchoir du Dropt,09 80 65 24 31,,47800#La Sauvetat-du-Dropt,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.lesechoirdudropt.fr
Camping des Alouettes,09 92 22 97 45,,87310#Cognac-la-Forêt,3 étoiles#Classement officiel des hébergements touristiques|Valeur#Label,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.camping-des-alouettes.com/fr
Gîte du Laika,09 16 64 13 69,,33480#Listrac-Médoc,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,
Le Pré Oudot,05 93 52 58 95,,25390#Fournets-Luisans,5 épis / Luxury#Gîtes de France|Esprit parc national#Parcs Nationaux de France|Gîtes de France#Gîtes de France|Accueil motards#Accueil motards,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,http://www.le-pre-oudot.fr
Camping du Futur,02 51 17 16 13,contact@camping-du-futur.com,86170#Avanton,3 étoiles#Classement officiel des hébergements touristiques,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,http://www.camping-du-futur.com
STELINA HAUSSMANN,09 56 49 37 94,,47300#Villeneuve-sur-Lot,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Meublé de Mme Schalck,01 36 41 58 18,,67250#Ingolsheim,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Ibis Centre-Ville,06 04 97 28 78,,25000#Besançon,Accueil Vélo#France Vélo Tourisme|Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques|Accueil motards#Accueil motards,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.accorhotels.com/fr/hotel-1364-ibis-besancon-centre-ville/index.shtml
La maison du lavoir,05 04 05 62 45,,02250#Tavaux-et-Pontséricourt,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.leboncoin.fr/ad/locations_saisonnieres/2977364187
Hôtel-Restaurant Le Saint-Cyr,04 91 56 42 90,,71520#Montmelard,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques|Hôtel Cosy#Logis|Rando Accueil#Rando Accueil,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,https://www.lesaintcyr.fr
Maison de village,02 91 63 17 36,,47310#Laplume,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,
Le Clos de la Pommeraie - Studio,04 09 46 75 32,,62830#Carly,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le Lodge du Clain,07 71 89 95 75,,86000#Poitiers,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Hôtel Restaurant La Chapelle Saint Martin,07 60 66 10 76,,87510#Nieul,4 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.chapellesaintmartin.com/fr
Hôtel Restaurant Campanile,05 12 16 16 59,dpo@groupedulouvre.com,59600#Maubeuge,3 étoiles#Classement officiel des hébergements touristiques,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,https://www.campanile.com/fr-fr/nos-hotels/france/hauts-de-france/hotels-maubeuge/?sr=NBCAFR&gclsrc=aw.ds&kClkId=220512161659617701&kVsId=210818151814509955&gclid=Cj0KCQjw4PKTBhD8ARIsAHChzRJkiJ3QRa1TUKc-h908oLezD43QCKHXYyu_w-yLC2-2rqlw5HGLS6UaAirJEALw_wcB
La Longère Bordeaux,06 93 02 33 56,longerebordeaux@gmail.com,33360#Cénac,4 étoiles#Classement officiel des hébergements touristiques|Vignobles & Découvertes#Label Vignobles & Découvertes|Gîtes de France#Gîtes de France|3 épis / Confort#Gîtes de France,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://longerebordeaux.com
Le Hameau A La Margot - Gîte Le noisetier,07 08 90 72 45,,24510#Val de Louyre et Caudeau,4 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France|4 épis / Premium#Gîtes de France,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
Appartement au cœur de ville,01 30 96 92 08,,71200#Le Creusot,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,
"La Villa des Roses, proche d'Epernay",04 15 53 53 02,,51480#Cormoyeux,Vignobles & Découvertes#Label Vignobles & Découvertes|3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,http://www.champagne-faniel.fr
Gîte La Parenthèse Andrésienne,03 75 94 65 15,,79380#Saint-André-sur-Sèvre,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,
Les beaux Monts,01 31 63 79 32,,39210#Menétru-le-Vignoble,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le Logis,04 93 27 44 75,,86270#Mairé,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Hôtel B &amp; B Troyes Magasins d'usine,06 34 70 32 16,bb_4621@hotelbb.com,10150#Lavau,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.hotel-bb.com/fr/hotel/troyes-magasins-usine
La suite Niortaise,03 48 73 02 13,lasuiteniortaise@gmail.com,79260#La Crèche,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,SUIVI NÉGO,Très bon contact. En attente d'une étude de cas par e-mail.,http://lasuiteniortaise.com
L'annexe de Steph,09 60 80 76 06,,70230#Loulans-Verchamp,4 étoiles#Classement officiel des hébergements touristiques|3 épis / Confort#Gîtes de France|Gîtes de France#Gîtes de France,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Les Caudalies,05 26 80 98 30,contact@lescaudalies.fr,39600#Arbois,Vignobles & Découvertes#Label Vignobles & Découvertes|3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.lescaudalies.fr/fr
Le Châtel Bourgeois,03 18 19 64 75,,89380#Appoigny,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le Hameau du Breuil,09 00 77 22 72,,86310#Saint-Savin,5 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,
Kamea Club - La Gironie,09 99 17 54 90,,19500#Turenne,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://gironie.com
La Stalla de Lagalope,06 65 39 07 58,,47380#Pinel-Hauterive,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Troyes Villa climatisée 3 ch 6 pers,05 94 94 77 76,,10120#Saint-André-les-Vergers,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Gîte la Vieille Grange : The Barn,02 56 50 65 48,,24410#Saint Privat en Périgord,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://gitesdelavieillegrange.com
La Tour du Stock - chalets grand confort 8 personnes,03 87 03 13 09,tourisme.langatte@wanadoo.fr,57400#Langatte,Tourisme & Handicap auditif#Marque Tourisme et Handicap|Tourisme & Handicap mental#Marque Tourisme et Handicap|Tourisme & Handicap moteur#Marque Tourisme et Handicap|3 étoiles#Classement officiel des hébergements touristiques|3 Clés#Clévacances,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://www.langatte-tourisme.com/fr/hebergement/lodges-insolites
Gîte bonheur,02 93 00 48 54,,67600#Kintzheim,4 épis / Premium#Gîtes de France,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le lilas de mer,06 17 08 92 61,,80230#Pendé,2 épis#Gîtes de France|Gîtes de France#Gîtes de France|3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,
Meublé de tourisme - Gîte des Mésanges,06 34 20 20 99,,08170#Haybes,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques|3 Clés#Clévacances,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le moulin au bain nordique,06 21 81 74 79,,02860#Colligis-Crandelain,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Appartement 8 personnes la louvière,04 68 33 73 42,,88250#La Bresse,Accueil Vélo#France Vélo Tourisme|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
"Hôtel-Restaurant ""Campanile Reims Murigny""",07 39 63 66 92,dpo@groupedulouvre.com,51100#Reims,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,http://www.campanile.com/fr/hotels/campanile-reims-sud-murigny?gclid=CLis7enJ58cCFUL4wgod0SoAOA
Appartement de charme,04 62 16 95 54,,47150#Monflanquin,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Location de vacances Douceur et Poésie,02 94 75 30 43,,67110#Reichshoffen,3 étoiles#Classement officiel des hébergements touristiques,OPPOSITION RGPD,DEMANDE EXPRESS DE RETRAIT (Art. 17 RGPD). Sortir des listes immédiatement.,
Retour aux sources n°1,03 98 30 47 32,retourauxsources39.71@hotmail.com,39270#Chambéria,4 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://retourauxsources39.wixsite.com/giteretourauxsources
Le Pontet,05 26 05 69 91,,33540#Blasimon,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
La Maison du Mestrot,02 27 91 03 49,,47310#Estillac,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Maison Caillet - Hôtel,06 37 66 08 19,jquery@ananas.min.mjs,76540#Valmont,3 étoiles#Classement officiel des hébergements touristiques,REFUS CATÉGORIQUE,Refus catégorique au barrage. Ne souhaite pas échanger.,https://www.seine-maritime-tourisme.com/offres/maison-caillet-hotel-valmont-fr-5134132
La Pause Limousine,05 64 16 15 64,,87220#Feytiat,4 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Meublé de tourisme Poutres apparentes triplex chez Sophie,06 97 47 98 81,,67370#Berstett,3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Le Chalet Limousin,06 82 28 25 16,,87250#Folles,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://lechaletlimousin.fr
Domaine des Granges,02 85 39 31 64,,70230#Cognières,Accueil Vélo#France Vélo Tourisme|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
Campanile Besançon Ouest Chateaufarine,07 43 03 66 17,besancon.chateaufarine@campanile.fr,25000#Besançon,3 étoiles#Classement officiel des hébergements touristiques,REFUS ARGUMENTÉ,Frein identifié : Manque de Social Proof et de références locales.,https://besancon-ouest-chateaufarine.campanile.com/fr-fr
Hôtel Ibis Beaune Centre,06 81 94 60 63,,21200#Beaune,Accueil Vélo#France Vélo Tourisme|Clef Verte#Clef verte|3 étoiles#Classement officiel des hébergements touristiques,NRP,Tentative d'appel - Pas de réponse. Relance à planifier.,
